source,dataset,organ,as,as_iri,age,sex,bmi,tool,cell_type,cell_type_label,cell_type_count,cell_type_percentage,biomarker,mean_expression_value
HuBMAP,https://entity.api.hubmapconsortium.org/entities/6c57274e7a40413dc042ec32442a228b,urinary bladder,fundus of urinary bladder,http://purl.obolibrary.org/obo/UBERON_0006082,22,Male,,pan-human-azimuth,CL:0000136,Adipocyte,39,0.01195952161913524,LDB2,15.60950381939228
HuBMAP,https://entity.api.hubmapconsortium.org/entities/6c57274e7a40413dc042ec32442a228b,urinary bladder,trigone of urinary bladder,http://purl.obolibrary.org/obo/UBERON_0001257,22,Male,,pan-human-azimuth,CL:0000136,Adipocyte,39,0.01195952161913524,LDB2,15.60950381939228
HuBMAP,https://entity.api.hubmapconsortium.org/entities/6c57274e7a40413dc042ec32442a228b,urinary bladder,fundus of urinary bladder,http://purl.obolibrary.org/obo/UBERON_0006082,22,Male,,pan-human-azimuth,CL:0000136,Adipocyte,39,0.01195952161913524,ANO2,7.083620291489821
HuBMAP,https://entity.api.hubmapconsortium.org/entities/6c57274e7a40413dc042ec32442a228b,urinary bladder,trigone of urinary bladder,http://purl.obolibrary.org/obo/UBERON_0001257,22,Male,,pan-human-azimuth,CL:0000136,Adipocyte,39,0.01195952161913524,ANO2,7.083620291489821
HuBMAP,https://entity.api.hubmapconsortium.org/entities/6c57274e7a40413dc042ec32442a228b,urinary bladder,fundus of urinary bladder,http://purl.obolibrary.org/obo/UBERON_0006082,22,Male,,pan-human-azimuth,CL:0000136,Adipocyte,39,0.01195952161913524,SHANK3,2.641025641025641
HuBMAP,https://entity.api.hubmapconsortium.org/entities/6c57274e7a40413dc042ec32442a228b,urinary bladder,trigone of urinary bladder,http://purl.obolibrary.org/obo/UBERON_0001257,22,Male,,pan-human-azimuth,CL:0000136,Adipocyte,39,0.01195952161913524,SHANK3,2.641025641025641
HuBMAP,https://entity.api.hubmapconsortium.org/entities/6c57274e7a40413dc042ec32442a228b,urinary bladder,fundus of urinary bladder,http://purl.obolibrary.org/obo/UBERON_0006082,22,Male,,pan-human-azimuth,CL:0000136,Adipocyte,39,0.01195952161913524,DOCK4,6.491201244867765
HuBMAP,https://entity.api.hubmapconsortium.org/entities/6c57274e7a40413dc042ec32442a228b,urinary bladder,trigone of urinary bladder,http://purl.obolibrary.org/obo/UBERON_0001257,22,Male,,pan-human-azimuth,CL:0000136,Adipocyte,39,0.01195952161913524,DOCK4,6.491201244867765
HuBMAP,https://entity.api.hubmapconsortium.org/entities/6c57274e7a40413dc042ec32442a228b,urinary bladder,fundus of urinary bladder,http://purl.obolibrary.org/obo/UBERON_0006082,22,Male,,pan-human-azimuth,CL:0000136,Adipocyte,39,0.01195952161913524,EGFL7,1.666666666666666
HuBMAP,https://entity.api.hubmapconsortium.org/entities/6c57274e7a40413dc042ec32442a228b,urinary bladder,trigone of urinary bladder,http://purl.obolibrary.org/obo/UBERON_0001257,22,Male,,pan-human-azimuth,CL:0000136,Adipocyte,39,0.01195952161913524,EGFL7,1.666666666666666
HuBMAP,https://entity.api.hubmapconsortium.org/entities/6c57274e7a40413dc042ec32442a228b,urinary bladder,fundus of urinary bladder,http://purl.obolibrary.org/obo/UBERON_0006082,22,Male,,pan-human-azimuth,CL:0000136,Adipocyte,39,0.01195952161913524,PKP4,7.737354896007441
HuBMAP,https://entity.api.hubmapconsortium.org/entities/6c57274e7a40413dc042ec32442a228b,urinary bladder,trigone of urinary bladder,http://purl.obolibrary.org/obo/UBERON_0001257,22,Male,,pan-human-azimuth,CL:0000136,Adipocyte,39,0.01195952161913524,PKP4,7.737354896007441
HuBMAP,https://entity.api.hubmapconsortium.org/entities/6c57274e7a40413dc042ec32442a228b,urinary bladder,fundus of urinary bladder,http://purl.obolibrary.org/obo/UBERON_0006082,22,Male,,pan-human-azimuth,CL:0000136,Adipocyte,39,0.01195952161913524,FLI1,4.179487179487179
HuBMAP,https://entity.api.hubmapconsortium.org/entities/6c57274e7a40413dc042ec32442a228b,urinary bladder,trigone of urinary bladder,http://purl.obolibrary.org/obo/UBERON_0001257,22,Male,,pan-human-azimuth,CL:0000136,Adipocyte,39,0.01195952161913524,FLI1,4.179487179487179
HuBMAP,https://entity.api.hubmapconsortium.org/entities/6c57274e7a40413dc042ec32442a228b,urinary bladder,fundus of urinary bladder,http://purl.obolibrary.org/obo/UBERON_0006082,22,Male,,pan-human-azimuth,CL:0000136,Adipocyte,39,0.01195952161913524,VWF,11.61299808208759
HuBMAP,https://entity.api.hubmapconsortium.org/entities/6c57274e7a40413dc042ec32442a228b,urinary bladder,trigone of urinary bladder,http://purl.obolibrary.org/obo/UBERON_0001257,22,Male,,pan-human-azimuth,CL:0000136,Adipocyte,39,0.01195952161913524,VWF,11.61299808208759
HuBMAP,https://entity.api.hubmapconsortium.org/entities/6c57274e7a40413dc042ec32442a228b,urinary bladder,fundus of urinary bladder,http://purl.obolibrary.org/obo/UBERON_0006082,22,Male,,pan-human-azimuth,CL:0000136,Adipocyte,39,0.01195952161913524,LIFR,5.474358974358974
HuBMAP,https://entity.api.hubmapconsortium.org/entities/6c57274e7a40413dc042ec32442a228b,urinary bladder,trigone of urinary bladder,http://purl.obolibrary.org/obo/UBERON_0001257,22,Male,,pan-human-azimuth,CL:0000136,Adipocyte,39,0.01195952161913524,LIFR,5.474358974358974
HuBMAP,https://entity.api.hubmapconsortium.org/entities/6c57274e7a40413dc042ec32442a228b,urinary bladder,fundus of urinary bladder,http://purl.obolibrary.org/obo/UBERON_0006082,22,Male,,pan-human-azimuth,CL:0000136,Adipocyte,39,0.01195952161913524,EMCN,4.950755094870542
HuBMAP,https://entity.api.hubmapconsortium.org/entities/6c57274e7a40413dc042ec32442a228b,urinary bladder,trigone of urinary bladder,http://purl.obolibrary.org/obo/UBERON_0001257,22,Male,,pan-human-azimuth,CL:0000136,Adipocyte,39,0.01195952161913524,EMCN,4.950755094870542
HCA,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H5$heart%20right%20ventricle,heart,heart right ventricle,http://purl.obolibrary.org/obo/UBERON_0002080,50,Female,20,celltypist,CL:0000136,Adip2,16,0.002296540835366729,DCN,2.910829782485962
HCA,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H5$heart%20right%20ventricle,heart,heart right ventricle,http://purl.obolibrary.org/obo/UBERON_0002080,50,Female,20,celltypist,CL:0000136,Adip2,16,0.002296540835366729,ABCA6,2.465534687042236
HCA,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H5$heart%20right%20ventricle,heart,heart right ventricle,http://purl.obolibrary.org/obo/UBERON_0002080,50,Female,20,celltypist,CL:0000136,Adip2,16,0.002296540835366729,GSN,2.757957458496094
HCA,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H5$heart%20right%20ventricle,heart,heart right ventricle,http://purl.obolibrary.org/obo/UBERON_0002080,50,Female,20,celltypist,CL:0000136,Adip2,16,0.002296540835366729,ABCA8,2.826545238494873
HCA,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H5$heart%20right%20ventricle,heart,heart right ventricle,http://purl.obolibrary.org/obo/UBERON_0002080,50,Female,20,celltypist,CL:0000136,Adip2,16,0.002296540835366729,LRP4,2.243837118148804
HCA,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H5$heart%20right%20ventricle,heart,heart right ventricle,http://purl.obolibrary.org/obo/UBERON_0002080,50,Female,20,celltypist,CL:0000136,Adip2,16,0.002296540835366729,MT-CO1,3.130369663238525
HCA,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H5$heart%20right%20ventricle,heart,heart right ventricle,http://purl.obolibrary.org/obo/UBERON_0002080,50,Female,20,celltypist,CL:0000136,Adip2,16,0.002296540835366729,NEGR1,2.440558433532715
HCA,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H5$heart%20right%20ventricle,heart,heart right ventricle,http://purl.obolibrary.org/obo/UBERON_0002080,50,Female,20,celltypist,CL:0000136,Adip2,16,0.002296540835366729,ACSM3,2.532773017883301
HCA,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H5$heart%20right%20ventricle,heart,heart right ventricle,http://purl.obolibrary.org/obo/UBERON_0002080,50,Female,20,celltypist,CL:0000136,Adip2,16,0.002296540835366729,ABCA10,2.048361301422119
HCA,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H5$heart%20right%20ventricle,heart,heart right ventricle,http://purl.obolibrary.org/obo/UBERON_0002080,50,Female,20,celltypist,CL:0000136,Adip2,16,0.002296540835366729,MT-CO3,3.08889365196228
HCA,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H6$interventricular%20septum,heart,Posteromedial head of posterior papillary muscle of left ventricle,http://purl.org/sig/ont/fma/fma7267,40,Female,20,azimuth,CL:0000136,Adipocyte,6,0.001462701121404193,SLC1A3,1.150762557983398
HCA,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H6$interventricular%20septum,heart,interventricular septum,http://purl.obolibrary.org/obo/UBERON_0002094,40,Female,20,azimuth,CL:0000136,Adipocyte,6,0.001462701121404193,SLC1A3,1.150762557983398
HCA,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H6$interventricular%20septum,heart,heart right ventricle,http://purl.obolibrary.org/obo/UBERON_0002080,40,Female,20,azimuth,CL:0000136,Adipocyte,6,0.001462701121404193,SLC1A3,1.150762557983398
HCA,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H6$interventricular%20septum,heart,heart left ventricle,http://purl.obolibrary.org/obo/UBERON_0002084,40,Female,20,azimuth,CL:0000136,Adipocyte,6,0.001462701121404193,SLC1A3,1.150762557983398
HCA,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H6$interventricular%20septum,heart,Posteromedial head of posterior papillary muscle of left ventricle,http://purl.org/sig/ont/fma/fma7267,40,Female,20,azimuth,CL:0000136,Adipocyte,6,0.001462701121404193,ACACB,2.67935848236084
HCA,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H6$interventricular%20septum,heart,interventricular septum,http://purl.obolibrary.org/obo/UBERON_0002094,40,Female,20,azimuth,CL:0000136,Adipocyte,6,0.001462701121404193,ACACB,2.67935848236084
HCA,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H6$interventricular%20septum,heart,heart right ventricle,http://purl.obolibrary.org/obo/UBERON_0002080,40,Female,20,azimuth,CL:0000136,Adipocyte,6,0.001462701121404193,ACACB,2.67935848236084
HCA,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H6$interventricular%20septum,heart,heart left ventricle,http://purl.obolibrary.org/obo/UBERON_0002084,40,Female,20,azimuth,CL:0000136,Adipocyte,6,0.001462701121404193,ACACB,2.67935848236084
HCA,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H6$interventricular%20septum,heart,Posteromedial head of posterior papillary muscle of left ventricle,http://purl.org/sig/ont/fma/fma7267,40,Female,20,azimuth,CL:0000136,Adipocyte,6,0.001462701121404193,LIPE-AS1,1.67782187461853
HCA,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H6$interventricular%20septum,heart,interventricular septum,http://purl.obolibrary.org/obo/UBERON_0002094,40,Female,20,azimuth,CL:0000136,Adipocyte,6,0.001462701121404193,LIPE-AS1,1.67782187461853
HCA,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H6$interventricular%20septum,heart,heart right ventricle,http://purl.obolibrary.org/obo/UBERON_0002080,40,Female,20,azimuth,CL:0000136,Adipocyte,6,0.001462701121404193,LIPE-AS1,1.67782187461853
HCA,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H6$interventricular%20septum,heart,heart left ventricle,http://purl.obolibrary.org/obo/UBERON_0002084,40,Female,20,azimuth,CL:0000136,Adipocyte,6,0.001462701121404193,LIPE-AS1,1.67782187461853
HCA,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H6$interventricular%20septum,heart,Posteromedial head of posterior papillary muscle of left ventricle,http://purl.org/sig/ont/fma/fma7267,40,Female,20,azimuth,CL:0000136,Adipocyte,6,0.001462701121404193,LIPE,1.064857125282288
HCA,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H6$interventricular%20septum,heart,interventricular septum,http://purl.obolibrary.org/obo/UBERON_0002094,40,Female,20,azimuth,CL:0000136,Adipocyte,6,0.001462701121404193,LIPE,1.064857125282288
HCA,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H6$interventricular%20septum,heart,heart right ventricle,http://purl.obolibrary.org/obo/UBERON_0002080,40,Female,20,azimuth,CL:0000136,Adipocyte,6,0.001462701121404193,LIPE,1.064857125282288
HCA,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H6$interventricular%20septum,heart,heart left ventricle,http://purl.obolibrary.org/obo/UBERON_0002084,40,Female,20,azimuth,CL:0000136,Adipocyte,6,0.001462701121404193,LIPE,1.064857125282288
HCA,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H6$interventricular%20septum,heart,Posteromedial head of posterior papillary muscle of left ventricle,http://purl.org/sig/ont/fma/fma7267,40,Female,20,azimuth,CL:0000136,Adipocyte,6,0.001462701121404193,FOXO1,1.618542671203613
HCA,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H6$interventricular%20septum,heart,interventricular septum,http://purl.obolibrary.org/obo/UBERON_0002094,40,Female,20,azimuth,CL:0000136,Adipocyte,6,0.001462701121404193,FOXO1,1.618542671203613
HCA,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H6$interventricular%20septum,heart,heart right ventricle,http://purl.obolibrary.org/obo/UBERON_0002080,40,Female,20,azimuth,CL:0000136,Adipocyte,6,0.001462701121404193,FOXO1,1.618542671203613
